rank,planet_name,star_name,biosignature_score,habitability_class,earth_similarity_index,radius_earth,mass_earth,orbital_distance_au,equilibrium_temp_k,in_hz_conservative,in_hz_optimistic,source_dataset
74,HIP 29442 d,HD 42813,32.04252721777595,Bajo,0.35212636088879745,1.368902304,5.099542742000001,0.0649,998.0,False,False,cumulative
75,TIC 139270665 b,TIC 139270665,31.873684503397804,Bajo,0.04368422516989006,7.223999999999999,147.1414,0.163,703.0,False,True,cumulative
76,LTT 3780 c,LTT 3780,31.738908304365367,Bajo,0.3369454152182682,2.2981533119999997,8.599188122000001,0.07673,353.0,False,False,cumulative
77,HIP 29442 c,HD 42813,31.571042571733653,Bajo,0.32855212858668276,1.57873408,4.499596724,0.0436,1217.0,False,False,cumulative
78,TOI-2010 b,TOI-2010,31.50524193917471,Bajo,0.02526209695873534,11.8048,408.6908,0.5516,400.2,False,True,cumulative
79,K2-38 b,K2-38,30.914040540046408,Bajo,0.2957020270023203,1.548758176,5.999463358,,1189.0,False,False,cumulative
80,TOI-1231 b,TOI-1231,29.4251094451779,Bajo,0.22125547225889475,3.6470755999999995,15.398623996000001,0.1288,329.6,False,False,cumulative
81,Kepler-1661 b,Kepler-1661,29.08872689386707,Bajo,0.20443634469335337,3.8668926239999997,16.998394238,0.633,243.0,False,False,cumulative
82,TOI-2088 b,TOI-2088,27.96795395123901,Bajo,0.14839769756195031,3.6801670079999993,36.996693356,0.472,300.33,False,False,cumulative
83,GJ 414 A b,GJ 414 A,27.036741229728367,Bajo,0.3518370614864185,2.627888256,7.5992812700000005,0.2324,308.6,False,False,cumulative
84,TOI-4994 b,TOI-4994,27.033544712042428,Bajo,0.051677235602121584,8.5344,88.98400000000001,0.1515,717.6,False,True,cumulative
85,TOI-1470 c,TOI-1470,26.985267935239975,Bajo,0.34926339676199875,2.4680210239999996,7.239353702,0.106,373.0,False,False,cumulative
86,Kepler-1654 b,Kepler-1654,25.90573393541135,Bajo,0.045286696770567625,9.172799999999999,158.9,2.026,206.0,False,False,cumulative
87,TOI-4600 b,TOI-4600,25.440124012811676,Bajo,0.022006200640583753,6.798399999999999,959.7560000000001,0.349,347.0,False,False,cumulative
88,Kepler-20 d,Kepler-20,24.221723735092418,Bajo,0.2110861867546209,2.7439999999999998,20.0214,0.3453,369.0,False,False,cumulative
89,TOI-1468 c,TOI-1468,22.935980356194175,Bajo,0.39679901780970867,2.0623462719999996,6.639407684,,337.5,False,False,cumulative
