planet_name,host_star,biosignature_score,habitability_score,detectability_score,biosignature_potential,stellar_activity,radius_earth,mass_earth,orbital_period,equilibrium_temp,stellar_temp,discovery_year,ml_prediction,ml_class,ml_confidence
Kepler-54 d,Kepler-54,70.0,35.0,15.0,20.0,0.0,1.38,,20.99589959,329.0,3726.0,2014,3,High Priority,0.9999394587147018
Kepler-249 d,Kepler-249,70.0,35.0,15.0,20.0,0.0,1.11,,15.36845737,332.0,3561.0,2014,3,High Priority,0.9536948235258547
HD 22532 b,HD 22532,70.0,25.0,25.0,20.0,0.0,,,872.6,,5038.0,2022,3,High Priority,0.9997245361738427
Kepler-186 e,Kepler-186,70.0,35.0,15.0,20.0,0.0,1.26,,22.40777444,322.0,3761.0,2014,3,High Priority,0.9999468009792155
Kepler-102 d,Kepler-102,70.0,20.0,30.0,20.0,0.0,1.17,2.6,10.312,,,2014,3,High Priority,0.999402666916508
Kepler-130 b,Kepler-130,70.0,20.0,25.0,20.0,5.0,1.04,,8.45746707,,5887.0,2014,3,High Priority,0.9992928148992051
TOI-1468 c,TOI-1468,70.0,20.0,30.0,20.0,0.0,2.126,4.1,15.532477,338.1,3376.0,2022,3,High Priority,0.999710950130708
K2-3 d,K2-3,70.0,20.0,30.0,20.0,0.0,1.11,,44.5574,,,2015,3,High Priority,0.9992241122833306
K2-288 B b,K2-288 B,70.0,25.0,25.0,20.0,0.0,1.9,,31.393463,226.36,3341.0,2018,3,High Priority,0.999969354495127
Kepler-381 d,Kepler-381,70.0,20.0,30.0,20.0,0.0,0.923,,8.2563025,,6346.0,2021,3,High Priority,0.9992966874242483
HD 4113 b,HD 4113,70.0,25.0,25.0,20.0,0.0,,,526.586,,5688.0,2007,3,High Priority,0.9998541337853768
Kepler-560 b,Kepler-560,70.0,35.0,15.0,20.0,0.0,1.55,,18.47762694,267.0,3395.0,2016,3,High Priority,0.9999515080423937
Kepler-249 d,Kepler-249,70.0,35.0,15.0,20.0,0.0,1.21,,15.36843606,336.0,3568.0,2014,3,High Priority,0.9999352397622617
K2-18 b,K2-18,70.0,20.0,30.0,20.0,0.0,2.53362939,,32.93737167947,260.44,3464.0,2015,3,High Priority,0.9996619540202335
Kepler-438 b,Kepler-438,70.0,35.0,15.0,20.0,0.0,0.98,,35.23318,273.0,3688.0,2015,3,High Priority,0.9998978133718501
L 98-59 f,L 98-59,70.0,20.0,30.0,20.0,0.0,,,23.064,285.0,3415.0,2025,3,High Priority,0.9994302459494642
