kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00809.01,CONFIRMED,1.594745374,1.9604,11.3,1539.0,1329.42,15044.5,0.514,1009.3
K00810.01,CONFIRMED,4.783002698,2.335,2.5,886.0,145.48,1008.7,0.003,70.6
K00811.01,CONFIRMED,20.50588921,4.0595,3.41,518.0,17.06,2105.5,0.26,78.5
K00812.01,CONFIRMED,3.340218842,1.9104,2.03,656.0,43.73,1632.6,0.466,71.6
K00828.01,FALSE POSITIVE,2.507089906,2.0067,30.26,1326.0,730.47,1339.2,1.255,64.9
K00829.01,CONFIRMED,18.64932728,4.4056,3.12,701.0,57.13,893.6,0.08,46.1
K00117.02,CONFIRMED,4.90144976,4.1654,1.7,1262.0,598.74,140.7,0.529,50.6
K00829.02,CONFIRMED,9.75192101,4.793,2.76,870.0,135.66,418.0,0.949,28.5
K00829.03,CONFIRMED,38.5576546,5.794,4.02,550.0,21.71,993.0,0.911,39.7
K00830.01,CONFIRMED,3.525632539,2.59959,11.58,975.0,213.12,22335.0,0.12,1996.7
K00815.01,CANDIDATE,34.84398644,2.9315,7.61,511.0,16.1,4523.6,0.934,76.8
K00816.01,CONFIRMED,7.748094239,3.5957,5.52,964.0,204.39,2472.1,0.517,113.2
K00817.01,CONFIRMED,23.96793669,3.827,1.8,329.0,2.77,1182.3,0.416,27.5
K00817.02,CONFIRMED,8.29561738,1.3421,1.82,469.0,11.39,824.3,0.888,17.9
K00818.01,CONFIRMED,8.11437482,2.2736,2.1,460.0,10.55,1558.0,0.573,56.4
K00819.01,FALSE POSITIVE,38.036729482,4.34617,27.5,500.0,14.81,82871.6,0.501,1300.0
K00820.01,CANDIDATE,4.64090031,35.512,30.09,1155.0,421.08,2450.6,1.28,296.9
K00011.01,FALSE POSITIVE,3.747838198,5.0642,13.65,1031.0,266.76,616.0,1.121,138.2
K00117.01,CONFIRMED,14.74914825,6.0995,2.89,874.0,137.91,430.2,0.173,107.4
K00821.01,CONFIRMED,21.81295996,4.3791,3.38,639.0,39.33,1175.4,0.053,37.8
K00822.01,FALSE POSITIVE,7.91936937,3.3148,10.34,814.0,104.0,15148.1,0.733,389.0
K00823.01,CANDIDATE,1.028436523,1.8606,72.77,1947.0,3400.48,8098.0,1.5734,89.6
K00824.01,CONFIRMED,15.37562369,3.3169,11.01,600.0,30.54,15337.0,0.692,166.0
K00825.01,CONFIRMED,8.10363271,3.161,2.11,687.0,52.82,887.9,0.047,39.3
K00825.02,CONFIRMED,4.71510843,2.506,1.46,823.0,108.84,417.5,0.258,21.3
K00826.01,CONFIRMED,6.365839713,2.9721,2.44,914.0,165.33,780.7,0.524,70.8
K00827.01,FALSE POSITIVE,5.97581754,3.065,3.86,1047.0,284.25,962.4,0.941,50.3
K00839.01,FALSE POSITIVE,2.446737317,4.7211,26.25,1261.0,597.19,1177.9,1.241,110.2
K00840.01,CONFIRMED,3.04033046,1.8411,8.99,1021.0,257.29,10858.8,0.736,568.2
